"","x"
"1790",0.849
"1791",0.849
"1792",0.875562
"1793",0.873563
"1794",0.8585705
"1795",0.837
"1796",0.838
"1797",0.869
"1798",0.858
"1799",0.848
"1800",0.854
"1801",0.867
"1802",0.8625685
"1803",0.8465765
"1804",0.851
"1805",0.874
"1806",0.855572
"1807",0.861569
"1808",0.869565
"1809",0.863568
"1810",0.871564
"1811",0.869565
"1812",0.874
"1813",0.876
"1814",0.865
"1815",0.868
"1816",0.865
"1817",0.866
"1818",0.865
"1819",0.875
"1820",0.885
"1821",0.873
"1822",0.873
"1823",0.854
"1824",0.857
"1825",0.871
"1826",0.853
"1827",0.863
